,text,intent
1807,places near me,places near me
1808,near by grocery,places near me
1809,Tell me a joke,tell me joke
1810,too loud,volume control
1811,today,asking date
1812,"Thank you, bye",goodbye
1813,can you be my best friend,tell me about
1814,open website stackoverflow.com,open website
1815,time,asking time
1816,is it true the hanging tree really had someone hung from it,tell me about
1817,what can you do for me,what can you do
1818,volume control mute,volume control
1819,play <song> on youtube,play on youtube
1820,what time is it day before tomorrow,asking time
1821,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1822,"s1, can you further clarify me on it.",tell me about
1823,Can you turn the volume up?,volume control
1824,tell me news today,tell me news
1825,tell me a joke about asia,tell me joke
1826,covid cases of india,covid cases
1827,tell me about my job,tell me about
1828,make a reservation for two at olive garden,places near me
1829,I am feeling a bit bored,i am bored
1830,let me know if anything happens on that subject,tell me news
1831,howdy,"greet and hello hi kind of things, general check in"
1832,hey play me a popular country song,play on youtube
1833,"Thank you, bye",goodbye
1834,What actions can you perform?,what can you do
1835,volume control increase,volume control
1836,send whatsapp message,send whatsapp message
1837,current news cnn,tell me news
1838,set the speakers to mute,volume control
1839,tell me about my job,tell me about
1840,what is the name of this song,play on youtube
1841,Hello hope you are doing well?,"greet and hello hi kind of things, general check in"
1842,download youtube video of,download youtube video
1843,Tell me a joke,tell me joke
1844,an graphical images effects to be required,tell me about
1845,Hola how are you?,"greet and hello hi kind of things, general check in"
1846,lower your volume please,volume control
1847,play on youtube,play on youtube
1848,please mute my speaker,volume control
1849,whats up,"greet and hello hi kind of things, general check in"
1850,play games of xyz 32 bit,play games
1851,Can you mute the volume?,volume control
1852,Please be quiet,goodbye
1853,stay quiet,volume control
1854,turn the volume down a little please,volume control
1855,send email to dipesh,send email
1856,i need sport's news,tell me news
1857,download youtube video of minecraft,download youtube video
1858,open website stackoverflow.com,open website
1859,whats the name of the current song,play on youtube
1860,send whatsapp message to,send whatsapp message
1861,make me laugh,tell me joke
1862,decrease the volume to ten,volume control
1863,download youtube video of minecraft,download youtube video
1864,take screenshot,take screenshot
1865,play games,play games
1866,Great thanks! My user is Bella,"greet and hello hi kind of things, general check in"
1867,please sent this email to my friend,send email
1868,mail macs@xorg,send email
1869,what stores have clearance,places near me
1870,hi there,"greet and hello hi kind of things, general check in"
1871,how hot is it outside today,asking weather
1872,click selfie,click photo
1873,set the volume to low,volume control
1874,daily cases of india,covid cases
1875,capture selfie,click photo
1876,download youtube video hd of,download youtube video
1877,Tell me a joke,tell me joke
1878,send whatsapp message,send whatsapp message
1879,send whatsapp message to 9898982565,send whatsapp message
1880,what date is easter sunday this year,asking time
1881,what day is it today,asking date
1882,play on youtube,play on youtube
1883,please give me today's date,asking time
1884,"Thank you, bye",goodbye
1885,what time is it on the east coast of the united states,asking time
1886,hi how are you,"greet and hello hi kind of things, general check in"
1887,good evening,goodbye
1888,what is happening in the world today,tell me news
1889,today,asking date
1890,Can you recommend some places nearby?,places near me
1891,video games,play games
1892,What are your functionalities?,what can you do
1893,sound off,volume control
1894,please check if there is a new email on the inbox,send email
1895,who is the artist of the song playing now,play on youtube
1896,covid cases of india past 24 hours,covid cases
1897,capture photo of <name>,click photo
1898,tell me a joke,tell me joke
1899,good bye,goodbye
1900,hello you have a send an email to someone,send email
1901,day after tomorrow,asking date
1902,please choose a game that you can play with me,play games
1903,daily cases of,covid cases
1904,Please be quiet,goodbye
1905,what is the time,asking time
1906,"please tell me good news,tell me some good news,tell me something good happened",tell me news
1907,speaker volume decrease,volume control
1908,where is the nearest italian restaurant,places near me
1909,volume control mute,volume control
1910,tell me current time,asking time
1911,volume control decrease by 10,volume control
1912,please shut off,volume control
1913,What is the weather like today,asking weather
1914,send email how are you dad to dad,send email
1915,locate me the amazon restaurants,places near me
1916,tell me about my life,tell me about
1917,send whatsapp message,send whatsapp message
1918,tell me about yours,tell me about
1919,Where can I find,tell me about
1920,open website facebook.com,open website
1921,show latest news about migration,tell me news
1922,will you explain me about what you have said once again please.,tell me about
1923,Give me a joke,tell me joke
1924,covid cases,covid cases
1925,let me know the latest weather news,tell me news
1926,i am bored what can i do today with my boyfriend,i am bored
1927,make me laugh,tell me joke
1928,i want to find some chinese food what is near me,places near me
1929,please recommend a restaurant in seattle,places near me
1930,"Thank you, goodbye",goodbye
1931,what is the weather like day before tomorrow,asking weather
1932,good evening,goodbye
1933,Can you turn the volume down?,volume control
1934,"Thanks for the help, goodbye",goodbye
1935,send whatsapp message to 9898982565,send whatsapp message
1936,Tell me a joke,tell me joke
1937,can you find an animal joke for me,tell me joke
1938,where can i get something to eat by the art museum,places near me
1939,covid confirmed cases,covid cases
1940,download youtube video of,download youtube video
1941,plants,tell me about
1942,hi how are you,"greet and hello hi kind of things, general check in"
1943,Where can I find something nearby?,places near me
1944,open website stackoverflow.com,open website
1945,what's good,tell me news
1946,covid cases of india past 48 hours,covid cases
1947,today,asking date
1948,what's happening in world news today,tell me news
1949,what is the time in milwaukee,asking time
1950,play games of xyz 32 bit,play games
1951,Shhh,goodbye
1952,can you check to see if i have any recent email alerts,send email
1953,Do you know the time?,asking time
1954,please advise what the current news is on fox news,tell me news
1955,what's good news,tell me news
1956,"Thank you, goodbye",goodbye
1957,open website stackoverflow.com,open website
1958,what is the weather like now tomorrow,asking weather
